File_Name,Strains,Dilution,Strain_Mix,Time,State,Genus
1_24,So_Fn,1000,unknown,24,Coculture,Mix
1_48,So_Fn,1000,unknown,48,Coculture,Mix
2_24,So_Fn_Pi,1000,unknown,24,Coculture,Mix
2_48,So_Fn_Pi,1000,unknown,48,Coculture,Mix
3_24,So_Fn_Pi_Vp,1000,unknown,24,Coculture,Mix
3_48,So_Fn_Pi_Vp,1000,unknown,48,Coculture,Mix
4_24,So_Ssan_Ssal_Vp_Av_An,1000,unknown,24,Coculture,Mix
4_48,So_Ssan_Ssal_Vp_Av_An,1000,unknown,48,Coculture,Mix
5_24,Smu_Ssob_Fn_Pi_Aa,1000,unknown,24,Coculture,Mix
5_48,Smu_Ssob_Fn_Pi_Aa,1000,unknown,48,Coculture,Mix
6_24,So_Ssan_Ssal_Vp_Av_An_Smu_Ssob_Fn_Pi_Aa,1000,unknown,24,Coculture,Mix
6_48,So_Ssan_Ssal_Vp_Av_An_Smu_Ssob_Fn_Pi_Aa,1000,unknown,48,Coculture,Mix
Aa_24,Aa,1000,100%,24,Culture,Aggregatibacter
Aa_72,Aa,1000,100%,72,Culture,Aggregatibacter
All,All,1000,,24,Artificial,Mix
An_24,An,1000,100%,24,Culture,Actinomyces
Av_24,Av,1000,100%,24,Culture,Actinomyces
Av_72,Av,1000,100%,72,Culture,Actinomyces
BHI2,none,1000,0%,24,Control,None
Fn_24,Fn,1000,100%,24,Culture,Fusobacterium
Fn_72,Fn,1000,100%,72,Culture,Fusobacterium
Pg_72,Pg,1000,100%,72,Culture,Porphyromonas
Pi_24,Pi,1000,100%,24,Culture,Prevotella
Pi_72,Pi,1000,100%,72,Culture,Prevotella
Sg_24,Sg,1000,100%,24,Culture,Streptococcus
Sg_72,Sg,1000,100%,72,Culture,Streptococcus
Smi_24,Smi,1000,100%,24,Culture,Streptococcus
Smi_72,Smi,1000,100%,72,Culture,Streptococcus
Smu_24,Smu,1000,100%,24,Culture,Streptococcus
Smu_72,Smu,1000,100%,72,Culture,Streptococcus
So_24,So,1000,100%,24,Culture,Streptococcus
So_72,So,1000,100%,72,Culture,Streptococcus
So_Fn,So_Fn,1000,50%,24,Artificial,Mix
So_Fn_Pi,So_Fn_Pi,1000,33%,24,Artificial,Mix
So_Fn_Pi_Vp,So_Fn_Pi_Vp,1000,25%,24,Artificial,Mix
Ssal_24,Ssal,1000,100%,24,Culture,Streptococcus
Ssal_72,Ssal,1000,100%,72,Culture,Streptococcus
Ssan_24,Ssan,1000,100%,24,Culture,Streptococcus
Ssan_72,Ssan,1000,100%,72,Culture,Streptococcus
Ssob_24,Ssob,1000,100%,24,Culture,Streptococcus
Ssob_72,Ssob,1000,100%,72,Culture,Streptococcus
Vp_24,Vp,1000,100%,24,Culture,Veillonella
Vp_72,Vp,1000,100%,72,Culture,Veillonella
